claim_id,evidence_family,target_family,target_mode,source_case,backend_or_method,mask_scope,selected_branch_semantics,all_mask_semantics,all_configured_mask_evidence,nominal_error,selected_worst_error,all_mask_worst_error,thresholds,passes_configured_thresholds,primary_interpretation,explicit_boundary,source_artifact
phase_shift_main_method_30seed_selected_branch,30-seed phase-shift main-method initializer comparison,halo phase-shift,catalog_halo_phase_shift,q1_catalog_halo_phase_shift_cardinality_prior_30seed,"random, cross_entropy, genetic, true_sa, surrogate_qubo_sa, qaoa_statevector, all_windows_continuous",30 seeds; selected one-segment branch-recovery benchmark,selected-worst errors come from the configured selected recovery branch benchmark,"all-mask values in this family are diagnostics, not selected all-configured masks",False,all_windows_continuous median nominal=0.0385672; surrogate_qubo_sa median nominal=0.0690121; qaoa_statevector median nominal=0.0948407,all_windows_continuous median selected=0.0600602; surrogate_qubo_sa median selected=0.0940745; qaoa_statevector median selected=0.12083,diagnostic medians only; not all-configured-mask evidence,"configured (0.09,0.17); tight (0.05,0.09): sampled methods 0/30; all_windows_continuous=30/30",random=11/30; cross_entropy=30/30; genetic=30/30; true_sa=30/30; surrogate_qubo_sa=30/30; qaoa_statevector=13/30; all_windows_continuous=30/30,No sampled-method or QAOA superiority; all-windows continuous has lower paired selected-worst error than every sampled method in this benchmark.,Selected-branch statistical evidence only; no quantum advantage and no all-configured-mask claim.,data/results/phase_shift_cardinality_30seed/summary.csv; data/results/phase_shift_cardinality_30seed/main_method_statistics_metadata.json; data/results/phase_shift_cardinality_30seed/threshold_sensitivity.csv
phase_shift_qaoa_qubo_30seed_selected_branch,30-seed QAOA/QUBO ablation,halo phase-shift,catalog_halo_phase_shift,q1_catalog_halo_phase_shift_cardinality_prior,surrogate-QUBO simulated annealing versus optimized statevector QAOA p=2,30 seeds; QUBO/QAOA sampler-family ablation on selected one-segment benchmark,paired selected-worst-error comparison against surrogate-QUBO SA,not an all-configured-mask evaluation,False,surrogate_qubo_sa median=0.0690121; qaoa_optimized_p2 median=0.0690121,surrogate_qubo_sa median=0.0940745; qaoa_optimized_p2 median=0.0940745,diagnostic medians only; not all-configured-mask evidence,"configured (0.09,0.17)",surrogate_qubo_sa=28/30; qaoa_optimized_p2=29/30,"Optimized p=2 QAOA is competitive with surrogate-QUBO SA in this ablation, but paired tests do not support statistical superiority (mean selected-worst delta=-0.000558832, sign-test p=0.454498).","Simulated QAOA ablation only; no hardware, quantum-advantage, or superiority claim.",data/results/qaoa_depth_ablation_30seed/summary.csv; data/results/qaoa_depth_ablation_30seed/paired_comparisons.csv
phase_shift_continuation_all_single_p04_all_configured,continuation extension,halo phase-shift,catalog_halo_phase_shift,all_single_p04_warm_from_p03,bounded multiple-shooting continuation,8/8 configured one-segment masks selected and evaluated,selected branches equal every configured one-segment mask,all-mask diagnostic is the selected/evaluated all-configured one-segment set,True,0.0530980832118395,0.0139134347944667,0.0139134347944667,nominal<=0.09; selected/all<=0.17,True,All configured one-segment phase-shift masks pass in this continuation row.,One-segment N=8 phase-shift scope only; not a QUBO/QAOA or high-fidelity claim.,data/results/continuation_extension_suite/continuation_margin_suite.csv (case_id=all_single_p04_warm_from_p03)
phase_shift_continuation_two_segment_n8_p03_all_configured,continuation extension,halo phase-shift,catalog_halo_phase_shift,two_segment_n8_p03_cold,bounded multiple-shooting continuation,15/15 configured one- and two-segment masks selected and evaluated,selected branches equal every configured one/two-segment mask,all-mask diagnostic is the selected/evaluated all-configured one/two set,True,0.0612012101866208,0.0434908055815499,0.0434908055815499,nominal<=0.09; selected/all<=0.17,True,All configured N=8 one- and two-segment phase-shift masks pass in this continuation row.,N=8 one/two-mask phase-shift scope only; not broader outage-family robustness.,data/results/continuation_extension_suite/continuation_margin_suite.csv (case_id=two_segment_n8_p03_cold)
phase_shift_direct_collocation_p04_selected_branch_diagnostic,direct-collocation baseline,halo phase-shift,catalog_halo_phase_shift,phase_time=0.4,compact direct-collocation continuous backend,one selected branch optimized; all configured one-segment masks evaluated diagnostically,"nominal trajectory and selected outage branches are optimized in one least-squares direct transcription; branch starts are fixed by RK4 propagation through the missed segment(s), then branch controls are re-optimized after the outage","all outage masks are evaluated after optimization; selected masks use optimized branch recovery controls, unselected masks use masked nominal controls only",False,0.03567443236113212,0.019117085167272115,0.06024618745953626,nominal<=0.09; selected/all<=0.17,True,The selected p=0.4 branch is feasible and all-mask diagnostic is below configured thresholds.,Selected-branch continuous-backend diagnostic; all masks were not selected for optimization.,data/results/direct_collocation_baseline/direct_collocation_baseline.csv (phase_time=0.4)
phase_shift_independent_hs_p04_amax02_selected_branch_diagnostic,independent-midpoint Hermite-Simpson baseline,halo phase-shift,catalog_halo_phase_shift,ihs_phase_p04_amax02_warm_from_p03,independent midpoint controls,3 selected branches optimized; 8 one-segment masks evaluated diagnostically,"nominal trajectory and selected outage branches are optimized in one least-squares direct transcription; branch starts are fixed by RK4 propagation through the missed segment(s), then branch controls are re-optimized after the outage",all outage masks are evaluated after optimization; selected masks use optimized branch recovery controls and unselected masks use masked nominal controls only,False,0.0197147568098046,0.0187821107883081,0.0531572965780589,nominal<=0.09; selected/all<=0.17,True,Independent midpoint controls give a strong phase-shift continuous-backend diagnostic.,Selected-branch/all-mask distinction is preserved; not all-configured-mask evidence.,data/results/independent_hs_continuation_baseline/independent_hs_continuation_baseline.csv (case_id=ihs_phase_p04_amax02_warm_from_p03)
phase_shift_independent_hs_p04_amax02_all_configured,independent-midpoint Hermite-Simpson all-configured headroom,halo phase-shift,catalog_halo_phase_shift,ihs_all_single_p04_amax02_warm_from_p03,independent midpoint controls,8/8 configured one-segment masks selected and evaluated,"nominal trajectory and selected outage branches are optimized in one least-squares direct transcription; branch starts are fixed by RK4 propagation through the missed segment(s), then branch controls are re-optimized after the outage",all-mask diagnostic equals selected-worst error because every configured one-segment mask was selected and evaluated,True,0.011115187774142957,0.07741645121655767,0.07741645121655767,nominal<=0.09; selected/all<=0.17,True,The new independent-midpoint HS package gives all-configured one-segment phase-shift headroom at p=0.4 and amax=0.2 in normalized CR3BP.,"Normalized-CR3BP all-configured one-segment evidence only; optimizer reached the max_nfev cap, and this is not production solver parity, high-fidelity validation, fuel optimality, broader outage-family robustness, QUBO, QAOA, or quantum evidence.",data/results/independent_hs_all_configured_headroom/independent_hs_all_configured_headroom.csv (case_id=ihs_all_single_p04_amax02_warm_from_p03)
phase_shift_independent_hs_branch_control_replay,independent-midpoint Hermite-Simpson branch-control replay,halo phase-shift,catalog_halo_phase_shift,ihs_all_single_p04_amax02_warm_from_p03; ihs_all_single_p04_amax02_polish_from_p04,normalized CR3BP replay of persisted independent-HS endpoint and midpoint controls,16 branch replay rows across 2 all-configured one-segment independent-HS rows; 8 branches per row,replays persisted nominal and selected branch endpoint-plus-midpoint full-control schedules,both source rows selected all eight configured one-segment masks; replay does not rerun branch selection,True,original recorded=0.011115187774142957; polish recorded=0.011333095366088189; max replay delta=0.0,original selected/all=0.07741645121655767; polish selected/all=0.07792080291839382; max branch replay delta=0.0,"original all=0.07741645121655767; polish all=0.07792080291839382; all configured masks are replay rows, not new optimized branches",replay tolerance<=1e-10; source nominal<=0.09; source selected/all<=0.17,True,"Persisted independent-HS branch controls replay deterministically under normalized CR3BP with max terminal-error delta 0.0; the polish row converges (optimizer_success=True, nfev=25) but has slightly higher selected/all error than the capped source row.","Branch-control replay only; no optimization rerun, high-fidelity validation, production solver parity, fuel optimality, broader outage-family robustness, quantum, QUBO, or QAOA claim.",data/results/independent_hs_branch_control_replay/independent_hs_branch_control_replay.csv; data/results/independent_hs_branch_control_replay/independent_hs_branch_control_replay_metadata.json; data/results/independent_hs_all_configured_headroom/independent_hs_all_configured_headroom.csv
phase_shift_independent_hs_bicircular_phase_stress_probe,independent-HS simple bicircular phase-sweep stress replay,halo phase-shift,catalog_halo_phase_shift,ihs_all_single_p04_amax02_polish_from_p04,persisted independent-HS endpoint-plus-midpoint controls under simple circular solar tide,"converged polish row; 8 nominal phase rows and 64 branch-phase rows over Sun phases 0.0, 45.0, 90.0, 135.0, 180.0, 225.0, 270.0, 315.0",replays persisted nominal and all eight branch endpoint-plus-midpoint schedules; controls are not retuned,"all eight configured one-segment masks are covered for each stress phase, but this is a phase-sweep replay rather than a new optimization",True,polish simple-bicircular max nominal=0.022138676654057693; pass count=8/8; CR3BP replay delta=0.0,polish simple-bicircular max branch=0.08557051343145317; pass count=64/64; global branch pass count=128/128,polish all-mask stress worst=0.08557051343145317; all eight masks pass in all eight phases,"source nominal<=0.09; source branch<=0.17; Sun distance=389.17 LU, mu ratio=328900.56, rotating phase rate=-0.9252",True,Positive simple bicircular phase-sweep stress replay for the converged independent-HS all-configured row; persisted controls remain within configured thresholds across the tested phases.,"Deterministic beyond-CR3BP stress probe only; not SPICE ephemeris validation, high-fidelity flight validation, production solver parity, fuel optimality, quantum, QUBO, or QAOA evidence.",data/results/independent_hs_bicircular_phase_stress/independent_hs_bicircular_phase_stress.csv; data/results/independent_hs_bicircular_phase_stress/independent_hs_bicircular_phase_stress_metadata.json
phase_shift_independent_hs_horizons_solar_tidal_replay_probe,independent-HS cached-Horizons-derived solar-tidal replay,halo phase-shift,catalog_halo_phase_shift,ihs_all_single_p04_amax02_polish_from_p04,persisted independent-HS endpoint-plus-midpoint controls under a simplified solar tide from cached JPL Horizons geometry,representative 2026-Jan-01 epoch; polish row has 1 nominal replay and 8 configured one-segment branch replays,replays persisted nominal and all eight branch endpoint-plus-midpoint schedules; controls are not retuned,all eight configured one-segment masks are replayed once against the original CR3BP target with linearly interpolated cached-Horizons Sun geometry,True,polish cached-Horizons solar-tidal nominal=0.018363195236986728; CR3BP replay delta=0.0,polish cached-Horizons solar-tidal branch worst=0.07422350563850917; pass count=8/8; global branch pass count=16/16,polish all-mask cached-Horizons stress worst=0.07422350563850917; all eight masks pass once,source nominal<=0.09; source branch<=0.17; Sun distance LU range=382.6857920288508--382.693044178952; cache sha256=13fe699371ad67bf1616d38b7afd316bbff72811bbc0f8337cff51d6333897b2; cache path=data/cache/horizons/independent_hs_phase_shift_2026jan01_vectors.json,True,This is stronger than the simple bicircular phase sweep because the Sun geometry is derived from a cached JPL Horizons Moon/Sun vector cache; the persisted polish-row controls remain within the configured thresholds for this representative stress replay.,"Cached-Horizons-derived solar-tidal stress probe only; not SPICE validation, high-fidelity or flight validation, accepted-control high-fidelity replay, production solver parity, fuel optimality, quantum, QUBO, or QAOA evidence.",data/results/independent_hs_horizons_solar_tidal_replay/independent_hs_horizons_solar_tidal_replay.csv; data/results/independent_hs_horizons_solar_tidal_replay/independent_hs_horizons_solar_tidal_replay_metadata.json; data/cache/horizons/independent_hs_phase_shift_2026jan01_vectors.json
